Reprezentacija,rep_key,Model,Znacajke,Macro-F1,Tocnost,F1_dws,F1_ups,F1_wlk,F1_jog,F1_std,F1_sit
12 sirovih kanala,raw12,"Slucajna suma (100 stabala, sve znacajke)",218,0.9439787629035868,0.9494485294117648,0.9252948885976408,0.8355481727574751,0.9168278529980658,0.9872241579558652,0.9989775051124744,1.0
12 sirovih kanala,raw12,Slucajna suma (podesena),218 -> 72,0.9419814877429822,0.9466911764705882,0.9302325581395348,0.8254755996691481,0.9082926829268292,0.988399071925754,0.9994890137966276,1.0
12 sirovih kanala,raw12,LinearSVC (podesen),218 -> 72,0.9514470897135068,0.9572610294117648,0.9391979301423028,0.867761452031115,0.9296314025849688,0.9726027397260274,0.9994890137966276,1.0
12 sirovih kanala,raw12,SVC-RBF (podesen),218 -> 72,0.9519391702075228,0.9561121323529412,0.9428208386277002,0.8539898132427843,0.9246376811594202,0.9906976744186048,0.9994890137966276,1.0
6 kanala neovisnih o orijentaciji,oinv6,"Slucajna suma (100 stabala, sve znacajke)",110,0.8998298208491073,0.9053308823529412,0.8764940239043825,0.702660406885759,0.8296812749003984,0.9906542056074766,0.9994890137966276,1.0
6 kanala neovisnih o orijentaciji,oinv6,Slucajna suma (podesena),110 -> 72,0.8961930753149531,0.9030330882352942,0.8644295302013423,0.6951702296120348,0.8285714285714286,0.9894982497082848,0.9994890137966276,1.0
6 kanala neovisnih o orijentaciji,oinv6,LinearSVC (podesen),110 -> 72,0.9277438265432294,0.9407169117647058,0.8418156808803301,0.8114754098360656,0.922929631402585,0.9918319719953326,0.9994890137966276,0.9989212513484358
6 kanala neovisnih o orijentaciji,oinv6,SVC-RBF (podesen),110 -> 72,0.9199506997084748,0.9283088235294118,0.887434554973822,0.7872509960159363,0.8789552988448016,0.9660633484162896,1.0,1.0
"8 kanala tjelesnog sustava (v1, predznaceni)",wf1_8,"Slucajna suma (100 stabala, sve znacajke)",146,0.9155719622293438,0.9181985294117648,0.9201520912547528,0.7596899224806202,0.877815045519885,0.993006993006993,0.9711588883062402,0.9716088328075708
"8 kanala tjelesnog sustava (v1, predznaceni)",wf1_8,Slucajna suma (podesena),146 -> 72,0.9212420123166736,0.9246323529411764,0.9292149292149292,0.7622317596566524,0.8806112702960841,0.989522700814901,0.9828926905132191,0.9829787234042552
"8 kanala tjelesnog sustava (v1, predznaceni)",wf1_8,LinearSVC (podesen),146 -> 72,0.9342505999595624,0.9420955882352942,0.8817733990147784,0.9019607843137256,0.936768149882904,0.9502262443438914,0.9672045809474232,0.9675704412546516
"8 kanala tjelesnog sustava (v1, predznaceni)",wf1_8,SVC-RBF (podesen),146 -> 72,0.9618227010214864,0.9666819852941176,0.9368029739776952,0.9348659003831418,0.967622571692877,0.9716231555051078,0.9809236947791165,0.9790979097909792
"8 kanala tjelesnog sustava (v2, konacni)",wf2_8,"Slucajna suma (100 stabala, sve znacajke)",146,0.909048336154524,0.9110753676470588,0.918032786885246,0.7421276595744681,0.8575567358763883,0.9906542056074766,0.9727748691099476,0.9731437598736176
"8 kanala tjelesnog sustava (v2, konacni)",wf2_8,Slucajna suma (podesena),146 -> 72,0.9096806009838933,0.9110753676470588,0.9216944801026956,0.7424749163879598,0.8578360019408054,0.9906976744186048,0.9722367731796752,0.9731437598736176
"8 kanala tjelesnog sustava (v2, konacni)",wf2_8,LinearSVC (podesen),146 -> 72,0.9264411456959348,0.9303768382352942,0.8964646464646465,0.8975791433891993,0.9332079021636877,0.9506726457399104,0.9429333333333332,0.9377892030848328
"8 kanala tjelesnog sustava (v2, konacni)",wf2_8,SVC-RBF (podesen),146 -> 72,0.9554225644998168,0.9620863970588236,0.939281288723668,0.9258555133079848,0.9477154969382948,0.9385964912280702,0.9908163265306122,0.9902702702702704
"8 kanala tjelesnog sustava (v2, konacni)",wf2_8,"Slucajna suma (100 stabala, sve znacajke) bez nagiba",144,0.8932098722753143,0.8913143382352942,0.9062901155327343,0.7497850386930353,0.8668257756563246,0.9918509895227008,0.9208709506107275,0.9236363636363636
"8 kanala tjelesnog sustava (v2, konacni)",wf2_8,Slucajna suma (podesena) bez nagiba,144 -> 72,0.8943323330620534,0.8913143382352942,0.9205128205128205,0.747870528109029,0.8615384615384616,0.988399071925754,0.9227513227513228,0.9249217935349322
"8 kanala tjelesnog sustava (v2, konacni)",wf2_8,LinearSVC (podesen) bez nagiba,144 -> 72,0.8922964118725037,0.8915441176470589,0.8645962732919255,0.8888888888888888,0.9152380952380952,0.9386845039018952,0.8646188850967008,0.8817518248175182
"8 kanala tjelesnog sustava (v2, konacni)",wf2_8,SVC-RBF (podesen) bez nagiba,144 -> 72,0.9161997448034745,0.9083180147058824,0.929192546583851,0.9077069457659372,0.967860422405877,0.9930232558139535,0.8362168396770473,0.8631984585741811
