session,orientation,true,12ch_majority,12ch_correct_frac,6ch_majority,6ch_correct_frac,6ch_better,n_windows
dws,natural,dws,ups,0.0,ups,0.0,False,4
ups,natural,ups,ups,1.0,ups,1.0,False,5
hod,natural,wlk,dws,0.2222222222222222,ups,0.0,False,9
hod2,natural,wlk,wlk,1.0,wlk,1.0,False,3
hodanje,natural,wlk,ups,0.38461538461538464,dws,0.23076923076923078,False,13
hodanje2,natural,wlk,dws,0.0,ups,0.0,False,13
hodanje3,natural,wlk,ups,0.14285714285714285,wlk,0.6571428571428571,True,35
jog,natural,jog,ups,0.0,ups,0.0,False,7
ED,screen-toward-thigh + upside-down,wlk,wlk,0.5757575757575758,wlk,0.9393939393939394,True,33
EG,screen-toward-thigh + upright,wlk,wlk,1.0,ups,0.0,False,43
KD,camera-toward-thigh + upside-down,wlk,ups,0.0,ups,0.0,False,36
KG,camera-toward-thigh + upright,wlk,wlk,0.7692307692307693,wlk,0.8205128205128205,True,39
