model,session,window_index,end_sample_index,n_samples,pred
baseline_C12_combo_A_seed42,session_2026-06-18T18-13-27.169816.json,0,127,642,std
baseline_C12_combo_A_seed42,session_2026-06-18T18-13-27.169816.json,1,191,642,std
baseline_C12_combo_A_seed42,session_2026-06-18T18-13-27.169816.json,2,255,642,std
baseline_C12_combo_A_seed42,session_2026-06-18T18-13-27.169816.json,3,319,642,ups
baseline_C12_combo_A_seed42,session_2026-06-18T18-13-27.169816.json,4,383,642,ups
baseline_C12_combo_A_seed42,session_2026-06-18T18-13-27.169816.json,5,447,642,wlk
baseline_C12_combo_A_seed42,session_2026-06-18T18-13-27.169816.json,6,511,642,wlk
baseline_C12_combo_A_seed42,session_2026-06-18T18-13-27.169816.json,7,575,642,ups
baseline_C12_combo_A_seed42,session_2026-06-18T18-13-27.169816.json,8,639,642,std
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,0,127,1596,std
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,1,191,1596,std
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,2,255,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,3,319,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,4,383,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,5,447,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,6,511,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,7,575,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,8,639,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,9,703,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,10,767,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,11,831,1596,dws
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,12,895,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,13,959,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,14,1023,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,15,1087,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,16,1151,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,17,1215,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,18,1279,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,19,1343,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,20,1407,1596,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,21,1471,1596,std
baseline_C12_combo_A_seed42,session_2026-06-24T17-04-30.009717.json,22,1535,1596,std
baseline_C12_combo_A_seed42,session_2026-06-24T17-21-43.893895.json,0,127,1009,std
baseline_C12_combo_A_seed42,session_2026-06-24T17-21-43.893895.json,1,191,1009,sit
baseline_C12_combo_A_seed42,session_2026-06-24T17-21-43.893895.json,2,255,1009,std
baseline_C12_combo_A_seed42,session_2026-06-24T17-21-43.893895.json,3,319,1009,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-21-43.893895.json,4,383,1009,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-21-43.893895.json,5,447,1009,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-21-43.893895.json,6,511,1009,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-21-43.893895.json,7,575,1009,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-21-43.893895.json,8,639,1009,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-21-43.893895.json,9,703,1009,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-21-43.893895.json,10,767,1009,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-21-43.893895.json,11,831,1009,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-21-43.893895.json,12,895,1009,std
baseline_C12_combo_A_seed42,session_2026-06-24T17-21-43.893895.json,13,959,1009,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,0,127,2534,dws
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,1,191,2534,sit
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,2,255,2534,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,3,319,2534,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,4,383,2534,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,5,447,2534,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,6,511,2534,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,7,575,2534,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,8,639,2534,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,9,703,2534,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,10,767,2534,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,11,831,2534,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,12,895,2534,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,13,959,2534,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,14,1023,2534,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,15,1087,2534,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,16,1151,2534,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,17,1215,2534,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,18,1279,2534,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,19,1343,2534,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,20,1407,2534,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,21,1471,2534,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,22,1535,2534,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,23,1599,2534,wlk
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,24,1663,2534,ups
baseline_C12_combo_A_seed42,session_2026-06-24T17-24-13.644396.json,25,1727,2534,ups
