name,session,orientation,true,correct_frac,majority,n_windows
C12_combo_A,dws,natural,dws,1.0,dws,4
C12_combo_A,ups,natural,ups,1.0,ups,5
C12_combo_A,hod,natural,wlk,0.0,ups,9
C12_combo_A,hod2,natural,wlk,1.0,wlk,3
C12_combo_A,hodanje,natural,wlk,0.5384615384615384,wlk,13
C12_combo_A,hodanje2,natural,wlk,0.0,ups,13
C12_combo_A,hodanje3,natural,wlk,0.6285714285714286,wlk,35
C12_combo_A,jog,natural,jog,1.0,jog,7
C12_combo_A,ED,screen-toward-thigh + upside-down,wlk,0.8181818181818182,wlk,33
C12_combo_A,EG,screen-toward-thigh + upright,wlk,0.9069767441860465,wlk,43
C12_combo_A,KD,camera-toward-thigh + upside-down,wlk,0.9166666666666666,wlk,36
C12_combo_A,KG,camera-toward-thigh + upright,wlk,0.8717948717948718,wlk,39
C1_low_lr,dws,natural,dws,1.0,dws,4
C1_low_lr,ups,natural,ups,1.0,ups,5
C1_low_lr,hod,natural,wlk,0.0,ups,9
C1_low_lr,hod2,natural,wlk,1.0,wlk,3
C1_low_lr,hodanje,natural,wlk,0.23076923076923078,ups,13
C1_low_lr,hodanje2,natural,wlk,0.0,ups,13
C1_low_lr,hodanje3,natural,wlk,0.6,wlk,35
C1_low_lr,jog,natural,jog,1.0,jog,7
C1_low_lr,ED,screen-toward-thigh + upside-down,wlk,0.9090909090909091,wlk,33
C1_low_lr,EG,screen-toward-thigh + upright,wlk,0.7441860465116279,wlk,43
C1_low_lr,KD,camera-toward-thigh + upside-down,wlk,0.8333333333333334,wlk,36
C1_low_lr,KG,camera-toward-thigh + upright,wlk,0.7948717948717948,wlk,39
C3_small_bs,dws,natural,dws,1.0,dws,4
C3_small_bs,ups,natural,ups,1.0,ups,5
C3_small_bs,hod,natural,wlk,0.0,ups,9
C3_small_bs,hod2,natural,wlk,1.0,wlk,3
C3_small_bs,hodanje,natural,wlk,0.5384615384615384,wlk,13
C3_small_bs,hodanje2,natural,wlk,0.0,ups,13
C3_small_bs,hodanje3,natural,wlk,0.4857142857142857,wlk,35
C3_small_bs,jog,natural,jog,1.0,jog,7
C3_small_bs,ED,screen-toward-thigh + upside-down,wlk,0.9696969696969697,wlk,33
C3_small_bs,EG,screen-toward-thigh + upright,wlk,0.813953488372093,wlk,43
C3_small_bs,KD,camera-toward-thigh + upside-down,wlk,0.8611111111111112,wlk,36
C3_small_bs,KG,camera-toward-thigh + upright,wlk,0.8205128205128205,wlk,39
